district,state,cluster,Youth Population %,Sex Ratio (Total),Sex Ratio (Birth),Adolescent Fertility %,Child Marriage %,Women Literacy %,Women 10+ Yrs School %,Modern FP Use %,Unmet FP Need %,ANC 1st Trimester %,ANC 4+ Visits %,Institutional Births %,Full Vaccination %,Stunting %,Underweight Children %,Women Anaemia %,Improved Sanitation %,Clean Fuel %,Health Insurance %,cluster_label,transition_stage,dividend_potential
North Goa,Goa,3,19.28,1016.91,849.01,2.72,7.45,92.37,71.98,54.75,9.2,74.63,91.29,99.57,-78.64,24.17,25.84,39.97,87.74,96.69,64.83,,mid,emerging
Kachchh,Gujarat,2,26.57,979.27,994.16,5.71,18.97,75.57,24.13,62.45,7.84,88.81,84.15,97.36,70.19,37.48,33.43,57.49,85.82,67.16,34.34,,mid,emerging
Banas Kantha,Gujarat,1,29.23,1007.3,966.79,5.08,37.34,63.71,17.64,37.45,18.5,68.04,56.05,92.94,43.53,38.98,44.1,59.98,53.86,45.63,40.96,,mid,low
Patan,Gujarat,2,25.08,967.42,975.59,2.27,35.35,71.08,22.59,52.86,11.2,86.2,79.81,98.55,80.99,50.51,42.25,59.76,73.11,62.62,50.17,,mid,emerging
Mahesana,Gujarat,2,22.13,912.81,742.48,4.53,32.31,75.05,32.59,41.79,18.43,59.69,56.58,97.25,-79.56,31.03,41.39,69.27,72.14,63.14,40.74,,mid,emerging
Gandhinagar,Gujarat,2,22.34,924.44,765.64,5.02,32.6,81.78,37.86,43.61,18.53,69.46,71.02,97.81,-77.66,38.07,44.61,68.81,84.6,76.86,29.74,,mid,emerging
Porbandar,Gujarat,3,20.75,1000.37,1044.96,1.87,9.96,84.33,35.93,68.54,7.7,93.54,92.05,100.0,-82.85,18.15,25.52,47.6,85.74,76.85,42.13,,mid,emerging
Amreli,Gujarat,3,22.71,983.84,977.23,1.64,10.51,77.17,27.18,51.9,9.54,93.9,92.59,90.13,-60.09,35.3,30.57,50.02,73.28,65.61,47.74,,mid,emerging
Anand,Gujarat,2,22.23,912.19,725.58,7.0,27.95,75.89,32.22,49.22,16.48,74.23,64.24,95.96,-77.03,38.4,46.63,66.36,82.1,65.13,36.17,,mid,emerging
Dohad,Gujarat,1,35.58,1047.47,1013.08,7.36,29.87,56.1,23.13,55.64,7.68,75.18,70.9,92.45,66.18,55.34,53.02,75.08,35.93,26.8,40.26,,mid,low
Narmada,Gujarat,2,25.98,1006.44,853.1,12.02,29.49,67.29,22.59,67.02,5.25,81.7,83.42,81.65,82.84,47.18,52.82,75.91,54.56,31.28,51.07,,mid,emerging
Bharuch,Gujarat,2,23.69,960.26,1112.02,5.03,16.77,74.01,31.52,35.73,20.25,63.37,65.68,91.14,-80.02,40.87,45.48,71.77,77.69,60.16,37.36,,mid,emerging
The Dangs,Gujarat,2,28.8,1023.19,1142.82,13.02,30.21,68.92,20.65,69.05,5.09,86.35,90.21,74.45,91.34,37.61,53.1,77.24,71.72,23.39,44.33,,mid,emerging
Navsari,Gujarat,3,19.55,1056.28,1005.57,3.34,15.73,84.05,47.65,65.13,6.5,93.42,94.69,99.26,94.99,36.83,43.59,68.71,80.12,70.17,41.96,,mid,emerging
Valsad,Gujarat,2,25.24,1009.32,1020.44,6.45,19.35,82.93,45.59,61.86,9.32,88.25,92.48,96.52,91.07,37.76,34.81,75.68,85.31,73.11,40.58,,mid,emerging
Surat,Gujarat,3,23.11,911.62,889.94,4.35,13.14,84.18,43.95,65.56,5.65,92.16,93.4,97.69,-92.81,36.05,32.45,68.96,81.95,88.56,31.55,,mid,emerging
Tapi,Gujarat,2,21.03,1075.85,1184.66,9.85,25.25,72.02,32.49,74.38,3.21,83.15,90.96,92.93,-97.54,41.68,51.78,77.38,70.21,45.5,42.32,,mid,emerging
Ahmadabad,Gujarat,3,22.05,928.43,993.99,4.38,17.51,81.47,42.65,58.21,6.45,73.51,77.76,94.45,-65.23,35.45,33.97,63.7,86.38,89.72,36.23,,mid,emerging
Aravali,Gujarat,2,25.54,996.23,964.55,6.65,26.96,71.93,34.67,56.34,11.19,62.63,73.84,92.18,76.99,47.08,47.24,77.27,56.32,47.93,43.89,,mid,emerging
Bhavnagar,Gujarat,2,24.13,941.9,1192.17,1.49,17.96,74.24,26.25,40.51,15.51,76.64,70.9,94.18,74.27,32.63,39.53,49.42,72.87,59.81,32.17,,mid,emerging
Botad,Gujarat,2,24.79,974.8,992.28,2.22,12.96,71.82,22.0,44.64,13.2,82.29,82.71,93.45,65.07,32.17,32.33,58.75,71.96,63.03,37.97,,mid,emerging
Chhota Udaipur,Gujarat,2,25.41,1015.86,937.22,4.33,27.52,53.2,20.25,67.28,5.09,81.86,81.22,85.72,81.69,48.59,48.09,78.9,52.95,25.67,39.95,,mid,emerging
Devbhumi Dwarka,Gujarat,2,24.19,1010.24,955.36,3.8,11.63,66.09,15.76,41.08,15.85,84.05,76.56,94.8,73.31,30.23,36.23,48.77,73.37,61.15,33.54,,mid,emerging
Gir Somnath,Gujarat,2,23.4,980.6,920.77,0.94,9.89,73.12,30.75,51.12,12.37,79.19,80.69,87.12,69.86,44.43,30.33,49.9,74.27,46.8,46.63,,mid,emerging
Jamnagar,Gujarat,3,20.95,1003.88,911.83,1.02,6.81,83.14,35.26,66.52,2.02,91.69,73.78,96.49,-78.4,28.35,28.86,50.22,86.6,81.56,38.6,,mid,emerging
Junagadh,Gujarat,3,21.58,999.37,875.95,4.95,11.23,82.79,34.96,42.32,13.75,81.96,72.54,97.42,93.47,37.28,26.43,58.77,81.68,67.18,47.25,,mid,emerging
Kheda,Gujarat,1,23.65,934.29,867.86,10.43,49.17,70.92,24.19,28.65,16.52,63.98,61.2,95.18,68.99,37.26,39.49,76.07,63.34,47.95,32.2,,mid,low
Mahisagar,Gujarat,2,25.39,992.53,963.32,6.09,30.66,70.89,33.91,59.12,6.77,77.21,76.63,92.98,79.98,43.43,48.98,72.5,44.42,47.44,46.0,,mid,emerging
Morbi,Gujarat,3,22.57,980.52,858.32,3.38,8.89,82.42,35.38,58.69,10.24,89.83,75.11,94.78,64.17,32.91,32.34,50.68,80.08,73.64,34.41,,mid,emerging
Panch Mahals,Gujarat,2,26.3,969.16,878.52,10.45,34.07,71.67,28.41,52.59,6.95,73.96,88.73,88.41,95.44,47.12,51.85,69.75,58.93,43.62,33.95,,mid,emerging
Rajkot,Gujarat,3,21.96,974.72,1049.44,1.76,12.11,84.68,42.59,53.53,6.22,93.96,93.52,99.28,-84.87,38.94,37.01,60.46,85.44,83.59,45.13,,mid,emerging
Sabar Kantha,Gujarat,2,26.55,986.84,870.62,6.11,26.96,74.52,31.1,55.51,9.17,70.1,73.24,89.43,88.47,37.01,41.0,67.31,60.97,58.71,49.32,,mid,emerging
Surendranagar,Gujarat,2,23.65,957.42,992.12,6.3,19.52,75.07,23.28,65.71,8.25,84.01,57.45,85.58,62.52,39.16,41.78,55.6,63.75,56.92,50.44,,mid,emerging
Vadodara,Gujarat,3,20.99,953.34,1186.27,10.31,22.77,84.57,46.41,49.06,11.37,80.44,65.92,95.92,-84.93,42.26,39.85,72.32,85.62,78.1,41.66,,mid,emerging
Panchkula,Haryana,3,23.09,936.23,853.65,1.37,7.4,87.86,60.28,58.96,7.01,82.62,76.91,96.99,-85.12,21.76,19.26,57.06,82.62,81.13,19.9,,mid,emerging
Ambala,Haryana,3,21.56,929.88,764.46,0.75,6.43,88.85,55.34,57.61,6.97,76.54,57.39,97.83,79.33,24.11,13.73,46.06,87.22,81.59,18.99,,mid,emerging
Yamunanagar,Haryana,3,23.59,922.91,1102.93,2.34,6.9,87.05,51.18,57.98,4.24,87.44,66.42,94.79,82.88,27.73,23.08,56.57,83.54,77.71,20.62,,mid,emerging
Kurukshetra,Haryana,3,24.69,941.08,869.18,3.9,11.68,83.92,48.4,62.95,9.45,82.71,59.75,98.36,69.77,24.92,22.5,57.08,82.63,77.58,19.19,,mid,emerging
Kaithal,Haryana,3,24.4,928.91,804.36,4.69,11.03,73.95,45.9,60.97,4.83,81.39,68.77,98.21,-74.26,29.89,29.86,61.52,89.72,55.91,29.08,,mid,emerging
Karnal,Haryana,3,26.42,969.94,821.11,3.11,6.61,84.46,46.78,67.08,5.37,91.19,84.71,98.96,88.85,29.16,20.53,61.89,83.5,74.08,24.59,,mid,emerging
Panipat,Haryana,3,25.98,916.78,937.57,5.71,11.92,85.89,52.12,55.35,7.3,81.35,49.2,97.1,80.62,25.13,18.91,66.88,79.32,72.95,26.48,,mid,emerging
Sonipat,Haryana,3,23.51,843.82,906.08,2.91,15.51,89.13,56.82,59.94,4.8,85.83,64.07,99.7,-82.99,23.6,12.68,53.28,86.65,69.93,22.36,,mid,emerging
Jind,Haryana,3,25.84,976.78,849.93,1.93,8.68,83.56,45.28,65.15,5.35,82.57,49.63,98.68,77.54,25.48,22.86,59.61,88.52,42.11,23.68,,mid,emerging
Fatehabad,Haryana,3,24.09,908.38,901.33,2.05,11.68,73.2,41.51,62.86,4.58,91.25,60.08,97.94,90.73,24.62,26.55,62.3,87.3,43.74,29.43,,mid,emerging
Hisar,Haryana,3,25.77,939.23,856.38,3.61,8.88,79.76,43.85,64.55,8.9,91.24,69.91,98.23,85.53,27.79,21.44,63.76,89.11,44.8,27.88,,mid,emerging
Rohtak,Haryana,3,23.7,941.99,880.47,1.68,12.4,88.53,55.91,62.99,8.51,86.43,72.28,97.39,77.42,28.86,22.06,65.29,90.01,67.27,24.78,,mid,emerging
Jhajjar,Haryana,3,22.95,981.67,1281.55,1.29,7.72,89.14,62.66,61.96,4.58,87.32,60.13,97.2,90.86,15.59,9.67,60.14,91.68,55.9,26.99,,mid,emerging
Mahendragarh,Haryana,3,22.27,935.56,962.0,9.55,13.38,82.73,52.42,63.22,9.34,88.14,55.2,98.91,73.86,25.15,15.35,61.22,79.78,34.16,25.61,,mid,emerging
Rewari,Haryana,3,22.64,884.53,787.38,4.72,5.75,87.41,58.72,64.38,8.5,85.72,63.78,98.71,79.33,25.93,20.46,61.84,86.4,54.92,25.33,,mid,emerging
Gurgaon,Haryana,3,24.72,871.09,858.4,6.89,20.68,87.07,59.55,61.16,7.84,86.17,48.12,96.67,-58.66,22.05,22.23,67.48,84.54,80.95,34.62,,mid,emerging
Mewat,Haryana,1,40.63,914.04,891.29,7.6,28.69,45.06,13.89,28.17,19.63,70.94,45.88,74.63,53.77,44.38,37.31,60.57,71.67,22.01,11.49,,mid,low
Faridabad,Haryana,3,24.96,889.86,954.65,2.77,15.33,84.39,55.55,58.21,7.38,85.55,51.23,92.49,69.49,28.86,19.47,54.2,84.16,89.26,32.8,,mid,emerging
Palwal,Haryana,2,31.29,942.91,884.3,4.72,23.75,71.14,39.4,54.21,7.99,81.22,53.41,78.34,69.03,30.95,21.02,57.18,80.3,34.62,23.51,,mid,emerging
Bhiwani,Haryana,3,24.81,984.94,898.8,3.36,15.03,80.03,47.02,67.15,9.32,89.03,60.36,97.7,72.51,29.0,20.64,66.43,89.67,36.55,28.24,,mid,emerging
Charkhi Dadri,Haryana,3,23.38,963.6,1006.84,3.13,11.8,84.41,54.45,61.31,11.11,82.63,53.44,98.94,84.16,23.91,16.87,72.64,90.4,36.23,29.71,,mid,emerging
Chamba,Himachal Pradesh,0,25.13,1073.13,1000.95,1.99,3.76,84.09,50.92,65.18,6.22,75.09,62.71,72.04,-100.0,42.56,25.96,43.71,86.54,34.96,26.79,,mid,emerging
Kangra,Himachal Pradesh,3,21.09,1050.7,795.2,0.82,1.53,94.43,69.85,52.0,11.82,51.45,56.28,90.17,-83.88,28.0,32.0,63.39,73.33,49.14,36.36,,mid,emerging
Lahul & Spiti,Himachal Pradesh,3,17.78,1077.18,1181.73,3.1,11.17,86.22,55.91,66.26,5.71,62.35,65.63,86.39,-77.85,28.46,18.44,82.05,61.69,71.73,31.15,,mid,emerging
Kullu,Himachal Pradesh,3,21.78,1008.03,1016.53,4.72,8.71,87.36,54.43,67.54,4.98,62.06,59.99,86.95,80.18,35.94,25.58,52.82,81.15,64.97,26.77,,mid,emerging
Mandi,Himachal Pradesh,3,22.32,1159.46,839.74,6.25,6.27,93.96,71.84,71.26,7.07,81.2,70.25,86.58,-94.12,31.34,21.29,48.85,86.98,38.59,41.33,,mid,emerging
Hamirpur,Himachal Pradesh,3,20.32,1181.58,1073.02,2.75,3.53,94.84,76.12,51.41,12.56,67.45,59.43,97.6,-74.25,27.27,23.58,49.45,85.48,44.73,32.03,,mid,emerging
Una,Himachal Pradesh,3,21.8,1026.03,872.55,2.13,1.64,92.52,66.82,45.88,15.8,70.71,71.66,89.65,-75.33,24.69,25.79,60.75,81.38,46.2,22.56,,mid,emerging
Bilaspur,Himachal Pradesh,3,22.11,1095.52,874.7,3.19,10.03,91.23,64.24,70.31,7.23,76.44,81.35,91.7,-100.0,40.06,38.77,52.99,80.82,35.78,35.41,,mid,emerging
Solan,Himachal Pradesh,3,22.27,946.67,881.95,5.75,13.34,90.98,62.34,65.46,2.87,87.1,88.17,90.22,-92.64,32.32,26.65,47.51,81.76,62.46,41.86,,mid,emerging
Sirmaur,Himachal Pradesh,3,25.51,922.93,925.05,1.75,4.97,84.93,55.64,74.51,3.1,91.03,85.23,87.41,93.92,28.62,24.18,50.13,84.27,46.8,26.19,,mid,emerging
Shimla,Himachal Pradesh,3,18.97,955.96,807.95,6.1,6.11,93.36,69.7,75.98,3.82,83.08,85.31,92.23,-96.53,27.07,14.93,46.49,87.25,78.02,37.07,,mid,emerging
Kinnaur,Himachal Pradesh,3,19.11,967.22,690.56,9.25,27.87,89.11,56.09,76.66,4.08,77.79,75.32,82.72,-91.73,32.16,18.92,51.72,80.06,70.38,35.91,,mid,emerging
Kupwara,Jammu & Kashmir,3,26.67,987.28,939.81,0.0,3.09,76.01,44.92,56.51,5.94,83.65,89.24,97.06,93.19,24.89,25.52,73.46,67.68,61.99,10.36,,mid,emerging
Badgam,Jammu & Kashmir,3,22.32,936.91,843.48,1.03,1.54,74.12,48.18,57.72,4.19,83.28,66.5,96.47,-92.53,26.81,20.64,73.89,77.01,71.12,5.22,,mid,emerging
Punch,Jammu & Kashmir,3,27.2,945.63,1175.33,0.54,5.36,79.25,46.76,53.26,8.41,80.53,86.38,85.99,91.15,25.89,18.8,54.07,66.69,44.62,11.08,,mid,emerging
Rajouri,Jammu & Kashmir,2,26.35,901.39,968.38,4.06,12.23,79.41,46.38,56.24,5.68,82.51,71.86,88.81,94.99,30.27,32.43,60.64,63.32,42.76,16.41,,mid,emerging
Kathua,Jammu & Kashmir,3,19.75,893.61,1100.27,0.0,1.44,87.65,64.85,72.71,4.17,83.21,31.61,97.08,-100.0,21.8,25.87,53.59,75.38,68.49,6.96,,mid,emerging
Baramula,Jammu & Kashmir,3,24.81,954.89,952.32,0.0,3.75,67.89,35.89,28.17,15.74,84.03,75.19,96.24,73.7,23.15,17.31,72.47,77.73,76.48,6.53,,mid,emerging
Bandipore,Jammu & Kashmir,3,25.48,969.88,999.7,0.0,1.76,66.57,35.87,34.57,13.75,82.92,82.62,92.76,90.3,25.24,16.8,73.72,66.83,77.85,9.07,,mid,emerging
Srinagar,Jammu & Kashmir,3,20.16,971.55,924.32,1.61,1.74,78.42,60.52,52.16,4.7,95.15,85.12,99.21,-90.93,32.96,15.78,51.65,86.78,98.44,17.87,,mid,emerging
Ganderbal,Jammu & Kashmir,3,25.11,930.53,816.39,0.41,5.3,63.99,34.25,27.65,14.14,86.88,80.38,97.97,81.17,18.49,20.13,77.24,78.44,84.44,8.3,,mid,emerging
Pulwama,Jammu & Kashmir,3,22.06,952.92,889.42,0.0,0.51,76.59,49.43,46.1,11.05,96.63,96.16,97.79,-88.75,22.38,20.22,73.15,91.61,76.62,9.88,,mid,emerging
Shupiyan,Jammu & Kashmir,3,22.95,958.31,1142.16,0.0,2.14,80.81,55.15,53.1,7.07,80.8,86.78,98.33,-92.16,21.95,33.51,63.9,86.54,66.11,8.37,,mid,emerging
Anantnag,Jammu & Kashmir,3,22.41,973.77,1176.81,0.65,2.54,74.66,52.77,57.26,7.81,81.96,80.91,90.47,-83.33,28.16,28.33,74.29,84.68,76.46,7.27,,mid,emerging
Kulgam,Jammu & Kashmir,3,25.44,961.99,1096.96,1.06,3.66,70.88,42.4,55.0,5.02,95.46,92.19,98.87,98.08,28.38,15.32,76.96,80.5,40.31,4.23,,mid,emerging
Doda,Jammu & Kashmir,2,28.36,943.15,959.28,2.71,11.03,69.24,46.75,49.41,7.21,86.3,74.32,73.54,61.65,32.68,15.2,66.53,70.9,42.36,7.6,,mid,emerging
Ramban,Jammu & Kashmir,2,29.53,915.02,1021.7,2.02,5.5,62.21,35.49,52.62,10.34,84.6,79.23,80.44,78.88,25.7,21.22,59.72,48.92,35.81,9.17,,mid,emerging
Kishtwar,Jammu & Kashmir,3,24.82,978.02,1024.22,1.76,7.22,71.28,47.97,47.84,9.56,80.3,76.4,91.59,-91.61,27.49,17.74,84.84,59.62,50.6,16.37,,mid,emerging
Udhampur,Jammu & Kashmir,2,26.13,946.15,996.98,1.04,6.05,77.33,43.66,63.93,6.26,80.1,69.82,87.23,85.75,37.28,31.93,56.46,69.84,55.08,16.83,,mid,emerging
Reasi,Jammu & Kashmir,0,30.69,966.72,999.95,2.22,9.61,68.19,41.88,51.72,7.48,83.43,75.92,69.32,79.05,17.74,11.73,62.88,62.71,35.2,11.24,,mid,emerging
Jammu,Jammu & Kashmir,3,22.18,938.68,891.71,0.0,5.26,91.54,70.8,57.05,6.72,93.16,95.43,96.48,-84.06,27.04,17.63,66.63,81.24,87.89,23.25,,mid,emerging
Samba,Jammu & Kashmir,3,24.51,959.54,888.16,1.29,6.25,84.83,60.61,50.44,9.53,86.56,96.2,97.85,90.85,24.52,15.48,62.35,78.81,73.01,19.02,,mid,emerging
Garhwa,Jharkhand,1,33.33,1108.38,828.6,8.69,31.32,62.74,31.04,48.66,12.33,66.25,29.78,83.98,77.16,47.7,40.57,62.69,54.06,24.74,55.27,,mid,low
Chatra,Jharkhand,1,36.77,1135.6,763.54,11.59,31.65,61.81,27.67,51.77,10.08,57.14,32.36,71.52,71.65,42.16,39.77,55.96,48.05,20.43,46.51,,mid,low
Kodarma,Jharkhand,1,35.8,1141.42,871.56,10.64,42.52,66.91,31.83,56.61,12.04,77.76,47.61,91.33,73.84,34.57,31.65,64.9,54.0,35.83,56.77,,mid,low
Giridih,Jharkhand,1,34.57,1090.99,851.85,12.33,45.59,57.32,24.97,54.33,11.99,57.94,42.1,70.74,70.61,31.88,34.25,64.7,59.24,32.38,52.41,,mid,low
Deoghar,Jharkhand,1,36.04,1067.99,929.36,20.24,49.16,54.22,19.73,48.49,11.07,58.1,30.74,61.29,54.45,41.65,36.87,70.23,41.56,23.5,53.8,,mid,low
Godda,Jharkhand,1,33.8,1011.55,880.74,16.14,48.51,50.44,19.55,50.55,11.31,63.1,39.22,70.22,63.93,39.37,40.72,66.27,54.88,19.67,45.91,,mid,low
Sahibganj,Jharkhand,1,39.44,1092.17,983.78,18.94,39.93,54.86,18.64,33.97,13.2,67.11,36.17,64.69,66.03,49.06,44.84,71.51,43.19,17.43,34.77,,mid,low
Pakur,Jharkhand,1,36.3,1073.91,925.16,14.35,43.38,46.68,13.6,45.44,12.03,71.56,26.64,64.6,69.43,51.26,51.4,79.72,38.26,16.94,52.45,,mid,low
Dhanbad,Jharkhand,2,27.78,985.77,869.11,10.88,28.33,71.97,37.88,51.63,9.67,65.43,44.55,78.75,66.11,26.98,25.05,63.83,67.58,37.18,45.66,,mid,emerging
Bokaro,Jharkhand,2,27.29,1006.22,899.35,5.89,26.26,72.56,44.96,59.55,9.45,68.18,48.71,80.86,70.99,36.2,32.28,68.84,64.38,46.97,44.65,,mid,emerging
Lohardaga,Jharkhand,1,32.38,1051.74,1010.84,5.51,21.85,67.46,35.02,41.12,13.87,78.96,37.65,84.11,88.19,40.73,43.43,61.7,67.68,33.95,58.87,,mid,low
Purbi Singhbhum,Jharkhand,2,23.37,1015.95,837.11,3.66,19.84,77.36,46.76,47.19,11.35,78.24,40.67,94.03,88.79,35.88,41.62,64.37,70.21,57.56,50.72,,mid,emerging
Palamu,Jharkhand,1,34.56,1183.06,1097.68,6.05,35.41,65.37,36.53,53.08,13.75,73.07,33.83,74.85,80.93,43.71,37.34,61.02,46.28,25.41,55.77,,mid,low
Latehar,Jharkhand,1,35.94,1115.12,967.34,8.81,32.19,58.74,26.53,45.92,13.42,75.01,43.12,70.29,74.98,40.1,39.38,63.58,51.4,14.23,52.23,,mid,low
Hazaribagh,Jharkhand,1,32.56,1082.55,856.46,10.86,38.57,69.67,40.09,53.57,11.46,59.81,36.41,82.03,70.11,37.8,32.49,56.12,55.64,36.81,55.0,,mid,low
Ramgarh,Jharkhand,2,27.85,955.02,902.95,5.13,25.08,72.73,44.33,54.16,7.28,63.42,40.92,78.98,81.78,35.25,35.28,62.26,64.2,33.15,49.67,,mid,emerging
Dumka,Jharkhand,1,31.72,1067.41,945.83,14.87,43.08,55.62,19.11,43.39,13.1,64.86,39.27,60.27,78.9,38.17,44.89,73.42,41.46,18.09,45.37,,mid,low
Jamtara,Jharkhand,1,29.53,996.01,824.72,14.9,50.54,57.37,21.39,54.12,9.89,66.73,35.98,75.37,78.82,41.92,46.17,77.65,52.84,20.25,62.91,,mid,low
Ranchi,Jharkhand,2,25.43,1004.47,873.96,5.45,20.89,78.4,49.45,51.34,12.02,77.75,35.21,87.28,73.81,28.33,40.57,58.92,77.19,57.68,43.85,,mid,emerging
Khunti,Jharkhand,1,29.81,992.33,708.92,4.32,21.71,59.89,29.27,43.37,11.75,71.3,37.43,73.77,71.91,38.48,44.0,70.02,55.16,18.66,58.17,,mid,low
Gumla,Jharkhand,1,30.71,1023.74,1028.09,7.19,20.85,69.27,33.34,45.02,14.91,81.46,49.29,83.76,85.28,40.23,38.71,59.48,50.12,19.13,51.67,,mid,low
Simdega,Jharkhand,1,30.03,1064.27,906.74,4.97,15.89,68.78,29.74,27.71,15.81,71.01,34.38,75.73,79.34,42.2,36.98,70.64,71.3,15.94,60.63,,mid,low
Pashchimi Singhbhum,Jharkhand,1,35.8,1049.26,872.16,6.66,24.36,49.83,22.92,36.25,12.51,62.58,34.86,67.91,86.96,60.61,62.38,72.57,37.74,15.53,46.71,,mid,low
Saraikela-Kharsawan,Jharkhand,2,26.16,995.87,919.22,10.28,19.19,68.27,36.01,52.43,7.24,85.12,54.39,81.84,80.87,40.02,48.7,70.17,60.87,31.53,63.08,,mid,emerging
Belgaum,Karnataka,2,24.99,1031.82,892.03,9.1,32.8,73.99,47.8,70.59,5.51,71.19,63.74,97.52,81.44,32.78,36.88,52.93,67.67,74.82,20.72,,mid,emerging
Bagalkot,Karnataka,2,26.5,1007.4,879.35,6.93,38.72,69.66,37.71,65.33,5.84,78.17,76.21,95.2,78.58,48.26,42.34,47.98,51.29,56.64,22.29,,mid,emerging
Bijapur,Karnataka,1,28.04,994.96,884.69,11.76,39.24,66.61,37.13,62.68,6.97,60.27,56.37,91.75,71.11,45.94,38.96,52.9,44.84,60.61,21.2,,mid,low
Bidar,Karnataka,2,27.27,1033.68,897.98,3.96,19.24,73.79,44.98,68.54,8.13,62.72,55.27,98.98,74.75,36.82,36.13,55.94,56.5,65.15,21.44,,mid,emerging
Raichur,Karnataka,1,29.29,1033.4,907.03,8.87,21.9,54.28,31.67,49.63,9.98,66.39,67.45,88.93,80.21,39.79,40.73,60.36,53.02,64.92,17.75,,mid,low
Koppal,Karnataka,1,28.76,994.25,951.54,8.51,27.06,59.8,34.36,63.23,9.71,52.41,50.67,90.74,84.84,49.09,45.84,54.81,58.79,47.39,20.62,,mid,low
Gadag,Karnataka,2,24.13,1059.81,910.69,2.04,27.69,70.67,45.12,57.7,7.03,52.56,68.68,96.19,74.26,45.15,39.78,50.47,55.2,56.27,28.27,,mid,emerging
Dharwad,Karnataka,3,22.09,1021.94,1109.57,3.29,17.78,81.76,51.36,65.73,6.32,78.74,85.21,99.69,-87.55,45.17,40.41,52.14,79.32,79.05,24.48,,mid,emerging
Uttara Kannada,Karnataka,3,18.16,1011.34,723.92,1.28,11.59,84.34,49.18,69.32,7.36,80.39,57.88,99.27,93.61,29.56,33.26,44.61,89.61,73.42,32.02,,mid,emerging
Haveri,Karnataka,2,25.43,977.51,805.46,4.15,16.54,71.52,39.99,44.62,8.38,73.3,58.65,97.17,95.71,29.91,34.98,50.79,68.87,60.67,28.77,,mid,emerging
Bellary,Karnataka,2,23.64,1038.1,1071.98,3.22,22.23,64.44,39.92,62.3,5.63,67.47,56.36,95.74,-71.46,36.08,36.51,58.11,64.13,76.19,25.66,,mid,emerging
Chitradurga,Karnataka,3,22.45,1023.01,1050.48,7.8,20.69,75.61,48.28,72.47,5.0,66.27,79.32,98.32,-94.6,35.98,32.35,44.58,63.05,80.59,35.33,,mid,emerging
Davanagere,Karnataka,3,21.93,967.27,796.58,4.88,19.1,75.98,47.07,46.9,11.46,62.99,63.05,98.31,-79.35,38.41,32.76,51.72,83.28,79.07,25.22,,mid,emerging
Shimoga,Karnataka,3,22.91,1010.38,1110.7,2.44,11.08,79.81,49.06,76.36,5.26,58.71,79.43,99.66,-96.07,29.02,34.42,41.89,85.44,85.65,26.54,,mid,emerging
Udupi,Karnataka,3,19.49,1147.71,1093.16,0.72,4.41,90.26,55.42,71.33,7.08,75.13,59.4,98.88,89.93,23.12,21.02,47.27,94.45,67.77,50.87,,mid,emerging
Chikmagalur,Karnataka,3,19.39,1040.57,849.42,5.49,19.48,82.89,48.32,79.57,3.83,69.5,74.3,98.39,-91.02,27.27,25.44,40.79,92.31,78.97,29.97,,mid,emerging
Tumkur,Karnataka,3,21.21,1085.37,1132.92,4.65,24.8,81.87,58.92,75.77,5.34,68.58,80.35,100.0,-97.71,40.31,26.72,49.28,86.14,85.26,30.95,,mid,emerging
Bangalore,Karnataka,3,20.62,1006.48,1162.84,2.03,14.47,87.27,70.05,73.0,4.72,75.34,74.6,99.34,-78.16,31.26,28.09,35.54,90.41,97.2,28.83,,mid,emerging
Mandya,Karnataka,3,18.06,1122.17,1041.34,5.93,13.13,78.3,52.54,78.5,3.75,85.56,90.07,99.45,-93.93,24.27,16.65,47.02,86.67,90.48,39.94,,mid,emerging
Hassan,Karnataka,3,20.23,1101.64,872.22,6.37,16.15,82.04,51.26,77.48,5.22,67.63,75.77,100.0,-96.8,27.12,23.81,42.22,87.87,86.13,36.89,,mid,emerging
Dakshina Kannada,Karnataka,3,19.84,1062.81,1037.82,1.01,4.89,92.72,62.79,60.17,9.54,86.14,82.0,100.0,-86.79,25.1,26.35,38.75,97.1,82.04,36.29,,mid,emerging
Kodagu,Karnataka,3,21.23,1168.41,1189.95,3.19,12.83,88.5,58.86,72.32,5.55,70.56,74.36,98.43,-90.56,30.41,22.59,39.85,93.86,78.32,45.63,,mid,emerging
Mysore,Karnataka,3,20.71,1076.71,1123.46,6.99,17.5,78.92,49.64,77.29,5.57,82.02,85.74,100.0,-97.17,27.5,28.23,47.97,86.44,94.73,26.24,,mid,emerging
Chamarajanagar,Karnataka,3,19.43,1037.18,953.16,6.14,19.29,72.36,41.69,79.43,3.38,83.18,84.11,100.0,-93.33,32.21,28.73,46.32,75.16,88.96,34.37,,mid,emerging
Gulbarga,Karnataka,1,26.75,1023.34,976.11,4.93,29.84,68.24,42.03,53.04,12.6,59.31,53.63,88.66,75.25,34.51,36.18,56.03,36.53,58.52,17.36,,mid,low
Yadgir,Karnataka,1,29.24,1020.25,922.28,6.91,33.19,48.05,26.43,63.74,7.47,57.41,63.59,93.34,82.63,57.6,45.24,57.3,37.37,48.79,16.74,,mid,low
Kolar,Karnataka,3,21.75,1029.59,919.0,9.02,26.69,78.28,55.01,71.92,5.12,78.03,90.91,99.6,-86.28,31.09,15.67,43.6,89.22,89.92,33.89,,mid,emerging
